year,question_number,question_type,text
2011,1,OBJECTIVE,"QUESTÃO 1
Retrato de uma princesa desconhecida
Para que ela tivesse um pescoço tão fino
Para que os seus pulsos tivessem um quebrar de caule
Para que os seus olhos fossem tão frontais e limpos
Para que a sua espinha fosse tão direita
E ela usasse a cabeça tão erguida
Com uma tão simples claridade sobre a testa
Foram necessárias sucessivas gerações de escravos
De corpo dobrado e grossas mãos pacientes
Servindo sucessivas gerações de príncipes
Ainda um pouco toscos e grosseiros
Ávidos cruéis e fraudulentos
Foi um imenso desperdiçar de gente
Para que ela fosse aquela perfeição
Solitária exilada sem destino
ANDRESEN, S. M. B. Dual. Lisboa: Caminho, 2004. p. 73.
No poema, a autora sugere que
A os príncipes e as princesas são naturalmente belos.
B os príncipes generosos cultivavam a beleza da princesa.
C a beleza da princesa é desperdiçada pela miscigenação racial.
D o trabalho compulsório de escravos proporcionou privilégios aos príncipes.
E o exílio e a solidão são os responsáveis pela manutenção do corpo esbelto da princesa."
2011,2,OBJECTIVE,"QUESTÃO 2
Exclusão digital é um conceito que diz respeito às extensas camadas sociais que ficaram à margem do fenômeno da
sociedade da informação e da extensão das redes digitais. O problema da exclusão digital se apresenta como um dos
maiores desafios dos dias de hoje, com implicações diretas e indiretas sobre os mais variados aspectos da sociedade
contemporânea.
Nessa nova sociedade, o conhecimento é essencial para aumentar a produtividade e a competição global. É fundamental
para a invenção, para a inovação e para a geração de riqueza. As tecnologias de informação e comunicação (TICs)
proveem uma fundação para a construção e aplicação do conhecimento nos setores públicos e privados. É nesse
contexto que se aplica o termo exclusão digital, referente à falta de acesso às vantagens e aos benefícios trazidos por
essas novas tecnologias, por motivos sociais, econômicos, políticos ou culturais.
Considerando as ideias do texto acima, avalie as afirmações a seguir.
I. Um mapeamento da exclusão digital no Brasil permite aos gestores de políticas públicas escolherem o público-
alvo de possíveis ações de inclusão digital.
II. O uso das TICs pode cumprir um papel social, ao prover informações àqueles que tiveram esse direito negado
ou negligenciado e, portanto, permitir maiores graus de mobilidade social e econômica.
III. O direito à informação diferencia-se dos direitos sociais, uma vez que esses estão focados nas relações entre
os indivíduos e, aqueles, na relação entre o indivíduo e o conhecimento.
IV. O maior problema de acesso digital no Brasil está na deficitária tecnologia existente em território nacional, muito
aquém da disponível na maior parte dos países do primeiro mundo.
É correto apenas o que se afirma em
A I e II.
B II e IV.
C III e IV.
D I, II e III.
E I, III e IV.
2
*A0320112* ENGENHARIA GRUPO III
2011
EXAME NACIONAL DE DESEMPENHO DOS ESTUDANTES"
2011,3,OBJECTIVE,QUESTÃO 3
2011,4,OBJECTIVE,"QUESTÃO 4
A cibercultura pode ser vista como herdeira legítima Com o advento da República, a discussão sobre a questão
(embora distante) do projeto progressista dos filósofos educacional torna-se pauta significativa nas esferas dos
Poderes Executivo e Legislativo, tanto no âmbito Federal
do século XVII. De fato, ela valoriza a participação das
quanto no Estadual. Já na Primeira República, a expansão
pessoas em comunidades de debate e argumentação.
da demanda social se propaga com o movimento da escola-
Na linha reta das morais da igualdade, ela incentiva uma
novista; no período getulista, encontram-se as reformas
forma de reciprocidade essencial nas relações humanas.
de Francisco Campos e Gustavo Capanema; no momento
Desenvolveu-se a partir de uma prática assídua de trocas
de crítica e balanço do pós-1946, ocorre a promulgação
de informações e conhecimentos, coisa que os filósofos
da primeira Lei de Diretrizes e Bases da Educação
do Iluminismo viam como principal motor do progresso.
Nacional, em 1961. É somente com a Constituição de
(...) A cibercultura não seria pós-moderna, mas estaria
1988, no entanto, que os brasileiros têm assegurada a
inserida perfeitamente na continuidade dos ideais educação de forma universal, como um direito de todos,
revolucionários e republicanos de liberdade, igualdade e tendo em vista o pleno desenvolvimento da pessoa no que
fraternidade. A diferença é apenas que, na cibercultura, se refere a sua preparação para o exercício da cidadania
esses “valores” se encarnam em dispositivos técnicos e sua qualificação para o trabalho. O artigo 208 do texto
concretos. Na era das mídias eletrônicas, a igualdade se constitucional prevê como dever do Estado a oferta da
educação tanto a crianças como àqueles que não tiveram
concretiza na possibilidade de cada um transmitir a todos;
acesso ao ensino em idade própria à escolarização cabida.
a liberdade toma forma nos softwares de codificação e no
acesso a múltiplas comunidades virtuais, atravessando Nesse contexto, avalie as seguintes asserções e a relação
fronteiras, enquanto a fraternidade, finalmente, se traduz proposta entre elas.
em interconexão mundial.
A relação entre educação e cidadania se estabelece na
LEVY, P. Revolução virtual. Folha de S. Paulo. busca da universalização da educação como uma das
Caderno Mais, 16 ago. 1998, p.3 (adaptado).
condições necessárias para a consolidação da democracia
O desenvolvimento de redes de relacionamento por meio
no Brasil.
de computadores e a expansão da Internet abriram novas
PORQUE
perspectivas para a cultura, a comunicação e a educação.
Por meio da atuação de seus representantes nos Poderes
De acordo com as ideias do texto acima, a cibercultura Executivos e Legislativo, no decorrer do século XX,
passou a ser garantido no Brasil o direito de acesso à
A representa uma modalidade de cultura pós-moderna
educação, inclusive aos jovens e adultos que já estavam
de liberdade de comunicação e ação. fora da idade escolar.
B constituiu negação dos valores progressistas A respeito dessas asserções, assinale a opção correta.
defendidos pelos filósofos do Iluminismo. A As duas são proposições verdadeiras, e a segunda é
C banalizou a ciência ao disseminar o conhecimento nas uma justificativa correta da primeira.
B As duas são proposições verdadeiras, mas a segunda
redes sociais.
não é uma justificativa correta da primeira.
D valorizou o isolamento dos indivíduos pela produção
C A primeira é uma proposição verdadeira, e a segunda, falsa.
de softwares de codificação.
D A primeira é uma proposição falsa, e a segunda, verdadeira.
E incorpora valores do Iluminismo ao favorecer o E Tanto a primeira quanto a segunda asserções são
compartilhamento de informações e conhecimentos. proposições falsas.
3
ENGENHARIA GRUPO III *A0320113*
2011
EXAME NACIONAL DE DESEMPENHO DOS ESTUDANTES"
2011,5,OBJECTIVE,"questão).
5 - Use caneta esferográfica de tinta preta tanto para marcar as respostas das questões objetivas quanto para
escrever as respostas das questões discursivas.
6 - Não use calculadora; não se comunique com os demais estudantes nem troque material com eles; não
consulte material bibliográfico, cadernos ou anotações de qualquer espécie.
7 - Você terá quatro horas para responder às questões de múltipla escolha e discursivas e ao questionário de
percepção da prova.
8 - Quando terminar, entregue ao Aplicador ou Fiscal o seu Caderno de Respostas.
9 - Atenção! Você só poderá levar este Caderno de Prova após decorridas três horas do início do Exame.
Ministério
*A0320111*
da Educação
2011
FORMAÇÃO GERAL
EXAME NACIONAL DE DESEMPENHO DOS ESTUDANTES"
2011,6,OBJECTIVE,QUESTÃO 6
2011,7,OBJECTIVE,"QUESTÃO 7
A educação é o Xis da questão A definição de desenvolvimento sustentável mais
usualmente utilizada é a que procura atender às
necessidades atuais sem comprometer a capacidade das
Desemprego Salário
Aqui se vê que a taxa de Aqui se vê que os salários
desemprego é menor para aumentam conforme os gerações futuras. O mundo assiste a um questionamento
quem fica mais tempo anos de estudo (em reais)
na escola crescente de paradigmas estabelecidos na economia e
13,05%
Até 10 anos também na cultura política. A crise ambiental no planeta,
de estudo 18 500
Salário de quando traduzida na mudança climática, é uma ameaça real
7,91% quem tem
12 a 14 anos doutorado ao pleno desenvolvimento das potencialidades dos países.
ou MBA
de estudo
O Brasil está em uma posição privilegiada para enfrentar
os enormes desafios que se acumulam. Abriga elementos
8 600 3,83%
Salário de 15 a 17 anos fundamentais para o desenvolvimento: parte significativa
quem tem curso de estudo
superior e fala da biodiversidade e da água doce existentes no planeta;
uma língua 2,66%
estrangeira
Mais de grande extensão de terras cultiváveis; diversidade étnica e
1 800 17 anos
de estudo cultural e rica variedade de reservas naturais.
Salário de
quem conclui
o ensino
médio Fontes: Manager Assessoria O campo do desenvolvimento sustentável pode ser
em Recursos Humanos e IBGE
conceitualmente dividido em três componentes:
Disponível em: <http://ead.uepb.edu.br/noticias,82>. Acesso em: 24 ago. 2011. sustentabilidade ambiental, sustentabilidade econômica e
A expressão “o Xis da questão” usada no título do sustentabilidade sociopolítica.
infográfico diz respeito
Nesse contexto, o desenvolvimento sustentável pressupõe
A à quantidade de anos de estudos necessários para
garantir um emprego estável com salário digno.
A a preservação do equilíbrio global e do valor das
B às oportunidades de melhoria salarial que surgem à medida
reservas de capital natural, o que não justifica a
que aumenta o nível de escolaridade dos indivíduos.
C à influência que o ensino de língua estrangeira nas desaceleração do desenvolvimento econômico e
escolas tem exercido na vida profissional dos indivíduos. político de uma sociedade.
D aos questionamentos que são feitos acerca da
B a redefinição de critérios e instrumentos de
quantidade mínima de anos de estudo que os
indivíduos precisam para ter boa educação. avaliação de custo-benefício que reflitam os efeitos
E à redução da taxa de desemprego em razão da política socioeconômicos e os valores reais do consumo e da
atual de controle da evasão escolar e de aprovação
preservação.
automática de ano de acordo com a idade.
C o reconhecimento de que, apesar de os recursos
ÁREA LIVRE naturais serem ilimitados, deve ser traçado um
novo modelo de desenvolvimento econômico para a
humanidade.
D a redução do consumo das reservas naturais com
a consequente estagnação do desenvolvimento
econômico e tecnológico.
E a distribuição homogênea das reservas naturais entre
as nações e as regiões em nível global e regional.
5
ENGENHARIA GRUPO III *A0320115*
2011
EXAME NACIONAL DE DESEMPENHO DOS ESTUDANTES"
2011,8,OBJECTIVE,"QUESTÃO 8
Em reportagem, Owen Jones, autor do livro Chavs: a difamação da classe trabalhadora, publicado no Reino
Unido, comenta as recentes manifestações de rua em Londres e em outras principais cidades inglesas.
Jones prefere chamar atenção para as camadas sociais mais desfavorecidas do país, que desde o início dos
distúrbios, ficaram conhecidas no mundo todo pelo apelido chavs, usado pelos britânicos para escarnecer dos hábitos
de consumo da classe trabalhadora. Jones denuncia um sistemático abandono governamental dessa parcela da
população: “Os políticos insistem em culpar os indivíduos pela desigualdade”, diz. (...) “você não vai ver alguém assumir
ser um chav, pois se trata de um insulto criado como forma de generalizar o comportamento das classes mais baixas.
Meu medo não é o preconceito e, sim, a cortina de fumaça que ele oferece. Os distúrbios estão servindo como o
argumento ideal para que se faça valer a ideologia de que os problemas sociais são resultados de defeitos individuais,
não de falhas maiores. Trata-se de uma filosofia que tomou conta da sociedade britânica com a chegada de Margaret
Thatcher ao poder, em 1979, e que basicamente funciona assim: você é culpado pela falta de oportunidades. (...) Os
políticos insistem em culpar os indivíduos pela desigualdade”.
Suplemento Prosa & Verso, O Globo, Rio de Janeiro, 20 ago. 2011, p. 6 (adaptado).
Considerando as ideias do texto, avalie as afirmações a seguir.
I. Chavs é um apelido que exalta hábitos de consumo de parcela da população britânica.
II. Os distúrbios ocorridos na Inglaterra serviram para atribuir deslizes de comportamento individual como causas
de problemas sociais.
III. Indivíduos da classe trabalhadora britânica são responsabilizados pela falta de oportunidades decorrente da
ausência de políticas públicas.
IV. As manifestações de rua na Inglaterra reivindicavam formas de inclusão nos padrões de consumo vigente.
É correto apenas o que se afirma em
A I e II.
B I e IV.
C II e III.
D I, III e IV.
E II, III e IV.
ÁREA LIVRE
6
*A0320116* ENGENHARIA GRUPO III
2011
EXAME NACIONAL DE DESEMPENHO DOS ESTUDANTES"
2011,9,OBJECTIVE,QUESTÃO 9
2011,10,OBJECTIVE,"QUESTÃO 10 191 HB, utilizando o processo de torneamento. São
normalmente realizadas as operações de desbaste,
Um centro de pesquisas está projetando um tanque
acabamento e faceamento nas peças. As ferramentas de
cúbico para armazenar 4,76 kg de uma mistura
usinagem estão com baixa produtividade, apresentando
saturada de líquido-vapor a 169,6 oC com um título de
desgastes de flanco prematuros. No processo, foi
85% e cujo volume específico, nessas condições, é de,
verificado que estão sendo utilizadas ferramentas da
aproximadamente, 210 dm3/kg. A transferência de calor
Classe ISO P40, sem cobertura, sendo que os parâmetros
para o tanque desde o estado inicial, no qual a pressão da
mistura líquido-vapor saturada é 0,50 kgf/cm2, até o estado de corte estão de acordo com o catálogo do fornecedor.
final desejado, se dá a uma razão de 60 W. Necessita-se
Nessas condições de trabalho, a melhor estratégia para
dimensionar a altura do tanque cúbico a ser construído.
aumentar a produtividade do processo e minimizar o
Considerando que o calor total transferido para o tanque desgaste das ferramentas é
durante o aquecimento foi de 9 117 kJ, concluiu-se
A utilizar fluido de corte emulsionável.
que a altura do tanque e o tempo do processo são,
B usar ferramenta da Classe ISO K40, sem cobertura.
respectivamente, iguais a
C usar ferramenta da Classe ISO K10, com revestimento
A 1,0 m e 42,2 horas.
de TiN.
B 1,0 m e 152,0 horas.
D usar ferramenta da classe ISO M40, sem cobertura
C 1,0 m e 422,0 horas. de TiN.
D 10,0 m e 42,2 horas. E diminuir os parâmetros de corte (velocidade de corte
E 10,0 m e 152,0 horas. e avanço).
9
ENGENHARIA GRUPO III *A0320119*
2011
EXAME NACIONAL DE DESEMPENHO DOS ESTUDANTES"
